season,state,v
2015-16,P_OWN_D,-0.000442400535220266
2015-16,P_NZ,0.0013198644031682664
2015-16,P_OZ_RUSH,0.002134398237400165
2015-16,P_OZ_EST,0.003945788216903238
2016-17,P_OWN_D,0.0004047247690350516
2016-17,P_NZ,0.00034991033547653413
2016-17,P_OZ_RUSH,-0.00013132263783405195
2016-17,P_OZ_EST,0.003920122566279048
2017-18,P_OWN_D,-0.0004583160419735408
2017-18,P_NZ,0.0009813388937789666
2017-18,P_OZ_RUSH,0.0019863467202447544
2017-18,P_OZ_EST,0.004245531618637396
2018-19,P_OWN_D,-0.0002904590793767452
2018-19,P_NZ,0.0008468589618104909
2018-19,P_OZ_RUSH,0.0033929934684875734
2018-19,P_OZ_EST,0.0054837716530976
2019-20,P_OWN_D,-0.0003598682056440314
2019-20,P_NZ,0.0013031820322335732
2019-20,P_OZ_RUSH,0.008278577011028455
2019-20,P_OZ_EST,0.005166649720878663
2020-21,P_OWN_D,0.0002847562143134184
2020-21,P_NZ,0.0010086336361465732
2020-21,P_OZ_RUSH,0.006819135543432648
2020-21,P_OZ_EST,0.00523858491538059
2021-22,P_OWN_D,0.0002762232422769778
2021-22,P_NZ,0.0033670759401100803
2021-22,P_OZ_RUSH,0.00562133451366604
2021-22,P_OZ_EST,0.005266272469476544
2022-23,P_OWN_D,-0.0009478186164649634
2022-23,P_NZ,0.0020587661254273357
2022-23,P_OZ_RUSH,-0.001706900755913192
2022-23,P_OZ_EST,0.006783793304071463
2023-24,P_OWN_D,-0.0012540190667100675
2023-24,P_NZ,0.003612188513273835
2023-24,P_OZ_RUSH,0.00704568556191431
2023-24,P_OZ_EST,0.005771194618548394
2024-25,P_OWN_D,0.0007677344437623426
2024-25,P_NZ,0.00043018414196967334
2024-25,P_OZ_RUSH,0.006717828433493498
2024-25,P_OZ_EST,0.00555673875583264
2025-26,P_OWN_D,-0.000572700352001192
2025-26,P_NZ,0.0013539505181375212
2025-26,P_OZ_RUSH,-0.0012934492525828053
2025-26,P_OZ_EST,0.005978483791594696
